Row Labels,M,F,R,L,P,NM,NF,NR,NL,NP
LHN,140000.000,1.000,204.000,0.000,0.000,0.004,0.000,0.281,0.000,0.000
LKP,170000.000,1.000,213.000,0.000,0.000,0.005,0.000,0.294,0.000,0.000
LL,140000.000,1.000,338.000,0.000,0.000,0.004,0.000,0.466,0.000,0.000
LN,220000.000,1.000,507.000,0.000,0.000,0.007,0.000,0.699,0.000,0.000
LNF,90000.000,1.000,512.000,0.000,0.000,0.002,0.000,0.706,0.000,0.000
LRY,380000.000,1.000,74.000,0.000,0.000,0.012,0.000,0.102,0.000,0.000
LZ,129600.000,3.000,210.000,77.000,24.749,0.004,0.010,0.290,0.106,0.051
MA1,875000.000,2.000,690.000,7.000,0.000,0.029,0.005,0.952,0.010,0.000
MAAG,380000.000,1.000,461.000,0.000,0.000,0.012,0.000,0.636,0.000,0.000
MAB,557142.857,7.000,317.000,197.000,51.215,0.018,0.029,0.437,0.271,0.106
MAD,340000.000,1.000,188.000,0.000,0.000,0.011,0.000,0.259,0.000,0.000
MAG,170000.000,1.000,325.000,0.000,0.000,0.005,0.000,0.448,0.000,0.000
MAK,170000.000,1.000,17.000,0.000,0.000,0.005,0.000,0.023,0.000,0.000
MAKZ,170000.000,1.000,44.000,0.000,0.000,0.005,0.000,0.061,0.000,0.000
MAN,380000.000,1.000,561.000,0.000,0.000,0.012,0.000,0.774,0.000,0.000
MAS,630000.000,2.000,11.000,217.000,0.000,0.020,0.005,0.015,0.298,0.000
MAT,365000.000,2.000,299.000,0.000,0.000,0.012,0.005,0.412,0.000,0.000
MATE,380000.000,1.000,298.000,0.000,0.000,0.012,0.000,0.411,0.000,0.000
MBA,144000.000,4.000,43.000,77.000,28.919,0.004,0.014,0.059,0.106,0.060
MBAF,380000.000,1.000,90.000,0.000,0.000,0.012,0.000,0.124,0.000,0.000
MBN,1245000.000,2.000,214.000,32.000,0.000,0.041,0.005,0.295,0.044,0.000
MCK,1065000.000,2.000,173.000,4.000,0.000,0.035,0.005,0.239,0.005,0.000
MDA,380000.000,1.000,573.000,0.000,0.000,0.012,0.000,0.790,0.000,0.000
MDE,155000.000,2.000,78.000,0.000,0.000,0.005,0.005,0.108,0.000,0.000
MDP,215000.000,2.000,24.000,0.000,0.000,0.007,0.005,0.033,0.000,0.000
ME,135000.000,2.000,183.000,0.000,0.000,0.004,0.005,0.252,0.000,0.000
MEAA,36000.000,1.000,183.000,0.000,0.000,0.001,0.000,0.252,0.000,0.000
MEQ,365000.000,2.000,271.000,0.000,0.000,0.012,0.005,0.374,0.000,0.000
MF,1130000.000,10.000,415.000,296.000,42.428,0.037,0.043,0.572,0.407,0.088
MFAR,380000.000,1.000,124.000,0.000,0.000,0.012,0.000,0.171,0.000,0.000
MFAS,4880000.000,1.000,587.000,0.000,0.000,0.163,0.000,0.810,0.000,0.000
MFG,385000.000,1.000,466.000,0.000,0.000,0.012,0.000,0.643,0.000,0.000
MFZ,365000.000,2.000,278.000,0.000,0.000,0.012,0.005,0.383,0.000,0.000
MGA,375000.000,2.000,276.000,0.000,0.000,0.012,0.005,0.381,0.000,0.000
MHB,380000.000,1.000,557.000,0.000,0.000,0.012,0.000,0.768,0.000,0.000
MHF,330000.000,3.000,250.000,180.000,127.279,0.010,0.010,0.345,0.247,0.263
MHNI,380000.000,1.000,328.000,0.000,0.000,0.012,0.000,0.452,0.000,0.000
MHP,200000.000,1.000,104.000,0.000,0.000,0.006,0.000,0.143,0.000,0.000
MHW,240000.000,1.000,331.000,0.000,0.000,0.007,0.000,0.457,0.000,0.000
MJ,5313333.333,3.000,462.000,154.000,69.296,0.177,0.010,0.637,0.212,0.143
MJA,247500.000,4.000,148.000,104.000,60.044,0.008,0.014,0.204,0.143,0.124
MKA,380000.000,1.000,471.000,0.000,0.000,0.012,0.000,0.650,0.000,0.000
MKF,273333.333,3.000,415.000,0.000,0.000,0.008,0.010,0.572,0.000,0.000
MLH,170000.000,1.000,321.000,0.000,0.000,0.005,0.000,0.443,0.000,0.000
MLP,170000.000,2.000,232.000,18.000,0.000,0.005,0.005,0.320,0.025,0.000
MLR,170000.000,1.000,305.000,0.000,0.000,0.005,0.000,0.421,0.000,0.000
MM,90000.000,1.000,638.000,0.000,0.000,0.002,0.000,0.880,0.000,0.000
MNH,730000.000,1.000,89.000,0.000,0.000,0.024,0.000,0.123,0.000,0.000
MNS,380000.000,1.000,45.000,0.000,0.000,0.012,0.000,0.062,0.000,0.000
MO,373333.333,3.000,44.000,69.000,4.950,0.012,0.010,0.061,0.095,0.010
MOZ,225000.000,1.000,197.000,0.000,0.000,0.007,0.000,0.272,0.000,0.000
MQ,263333.333,3.000,428.000,205.000,126.572,0.008,0.010,0.590,0.282,0.262
MRA,380000.000,1.000,237.000,0.000,0.000,0.012,0.000,0.327,0.000,0.000
MRAF,80000.000,1.000,69.000,0.000,0.000,0.002,0.000,0.095,0.000,0.000
MRB,380000.000,1.000,368.000,0.000,0.000,0.012,0.000,0.508,0.000,0.000
MRF,380000.000,1.000,410.000,0.000,0.000,0.012,0.000,0.566,0.000,0.000
MRH,380000.000,1.000,108.000,0.000,0.000,0.012,0.000,0.149,0.000,0.000
MRM,385000.000,2.000,191.000,0.000,0.000,0.012,0.005,0.263,0.000,0.000
MRN,380000.000,1.000,104.000,0.000,0.000,0.012,0.000,0.143,0.000,0.000
MRW,730000.000,1.000,383.000,0.000,0.000,0.024,0.000,0.528,0.000,0.000
MSH,170000.000,1.000,356.000,0.000,0.000,0.005,0.000,0.491,0.000,0.000
MSI,170000.000,1.000,311.000,0.000,0.000,0.005,0.000,0.429,0.000,0.000
MSM,222500.000,4.000,329.000,109.000,20.033,0.007,0.014,0.454,0.150,0.041
MSMM,170000.000,5.000,197.000,175.000,17.076,0.005,0.019,0.272,0.240,0.035
MSO,365000.000,2.000,54.000,0.000,0.000,0.012,0.005,0.074,0.000,0.000
MSPA,47500.000,2.000,115.000,225.000,0.000,0.001,0.005,0.159,0.309,0.000
MT,730000.000,1.000,566.000,0.000,0.000,0.024,0.000,0.781,0.000,0.000
MTC,488000.000,5.000,407.000,321.000,133.120,0.016,0.019,0.561,0.441,0.275
MTR,380000.000,1.000,426.000,0.000,0.000,0.012,0.000,0.588,0.000,0.000
MUA,380000.000,1.000,558.000,0.000,0.000,0.012,0.000,0.770,0.000,0.000
MUAQ,365000.000,2.000,200.000,0.000,0.000,0.012,0.005,0.276,0.000,0.000
MUR,170000.000,1.000,97.000,0.000,0.000,0.005,0.000,0.134,0.000,0.000
MX,140000.000,1.000,68.000,0.000,0.000,0.004,0.000,0.094,0.000,0.000
MXA,130000.000,2.000,73.000,0.000,0.000,0.004,0.005,0.101,0.000,0.000
MXAM,170000.000,2.000,249.000,0.000,0.000,0.005,0.005,0.343,0.000,0.000
MY,190000.000,3.000,395.000,132.000,90.510,0.006,0.010,0.545,0.181,0.187
MYH,380000.000,1.000,17.000,0.000,0.000,0.012,0.000,0.023,0.000,0.000
MYK,410000.000,1.000,88.000,0.000,0.000,0.013,0.000,0.121,0.000,0.000
MZA,480000.000,5.000,320.000,130.000,34.220,0.015,0.019,0.441,0.179,0.071
MZF,145000.000,1.000,697.000,0.000,0.000,0.004,0.000,0.961,0.000,0.000
MZH,380000.000,1.000,451.000,0.000,0.000,0.012,0.000,0.622,0.000,0.000
MZK,140000.000,1.000,239.000,0.000,0.000,0.004,0.000,0.330,0.000,0.000
MZP,175000.000,2.000,110.000,145.000,0.000,0.005,0.005,0.152,0.199,0.000
MZR,380000.000,1.000,473.000,0.000,0.000,0.012,0.000,0.652,0.000,0.000
MZX,730000.000,1.000,477.000,0.000,0.000,0.024,0.000,0.658,0.000,0.000
MZY,472500.000,4.000,299.000,89.000,14.742,0.015,0.014,0.412,0.122,0.030
NAD,240000.000,1.000,362.000,0.000,0.000,0.007,0.000,0.499,0.000,0.000
NAH,410000.000,1.000,86.000,0.000,0.000,0.013,0.000,0.119,0.000,0.000
NAJ,380000.000,1.000,74.000,0.000,0.000,0.012,0.000,0.102,0.000,0.000
NAP,170000.000,2.000,82.000,14.000,0.000,0.005,0.005,0.113,0.019,0.000
NAZ,380000.000,1.000,305.000,0.000,0.000,0.012,0.000,0.421,0.000,0.000
NB,130000.000,2.000,647.000,1.000,0.000,0.004,0.005,0.892,0.001,0.000
NE,90000.000,1.000,512.000,0.000,0.000,0.002,0.000,0.706,0.000,0.000
NGC,365000.000,2.000,166.000,0.000,0.000,0.012,0.005,0.229,0.000,0.000
NGL,170000.000,1.000,437.000,0.000,0.000,0.005,0.000,0.603,0.000,0.000
NH,140000.000,1.000,24.000,0.000,0.000,0.004,0.000,0.033,0.000,0.000
NM,146000.000,5.000,10.000,161.000,41.484,0.004,0.019,0.014,0.221,0.086
NMA,140000.000,1.000,95.000,0.000,0.000,0.004,0.000,0.131,0.000,0.000
NMAA,133333.333,3.000,43.000,4.000,2.828,0.004,0.010,0.059,0.005,0.006
NMF,400000.000,1.000,694.000,0.000,0.000,0.013,0.000,0.957,0.000,0.000
NN,274000.000,3.000,226.000,133.000,94.045,0.009,0.010,0.312,0.183,0.194
NNJ,140000.000,1.000,34.000,0.000,0.000,0.004,0.000,0.047,0.000,0.000
NSA,248000.000,5.000,212.000,143.000,36.151,0.008,0.019,0.292,0.196,0.075
NSF,90000.000,1.000,333.000,0.000,0.000,0.002,0.000,0.459,0.000,0.000
NSW,170000.000,1.000,146.000,0.000,0.000,0.005,0.000,0.201,0.000,0.000
NTB,170000.000,2.000,63.000,39.000,0.000,0.005,0.005,0.087,0.054,0.000
NZA,170000.000,1.000,295.000,0.000,0.000,0.005,0.000,0.407,0.000,0.000
NZR,795000.000,1.000,228.000,0.000,0.000,0.026,0.000,0.314,0.000,0.000
OA,170000.000,1.000,480.000,0.000,0.000,0.005,0.000,0.662,0.000,0.000
OG,730000.000,1.000,1.000,0.000,0.000,0.024,0.000,0.001,0.000,0.000
OH,275000.000,2.000,92.000,24.000,0.000,0.009,0.005,0.127,0.033,0.000
OSA,203750.000,4.000,418.000,90.000,18.682,0.006,0.014,0.577,0.124,0.039
OSAA,380000.000,1.000,514.000,0.000,0.000,0.012,0.000,0.709,0.000,0.000
PAS,370000.000,2.000,268.000,0.000,0.000,0.012,0.005,0.370,0.000,0.000
PK,465000.000,2.000,208.000,0.000,0.000,0.015,0.005,0.287,0.000,0.000
PS,380000.000,1.000,253.000,0.000,0.000,0.012,0.000,0.349,0.000,0.000
Q,380000.000,1.000,613.000,0.000,0.000,0.012,0.000,0.846,0.000,0.000
QA,740000.000,3.000,464.000,182.000,14.142,0.024,0.010,0.640,0.250,0.029
QAY,170000.000,1.000,236.000,0.000,0.000,0.005,0.000,0.326,0.000,0.000
QE,380000.000,1.000,123.000,0.000,0.000,0.012,0.000,0.170,0.000,0.000
QF,145000.000,1.000,537.000,0.000,0.000,0.004,0.000,0.741,0.000,0.000
QK,235000.000,2.000,337.000,0.000,0.000,0.007,0.005,0.465,0.000,0.000
QN,190000.000,1.000,62.000,0.000,0.000,0.006,0.000,0.086,0.000,0.000
QSM,170000.000,1.000,321.000,0.000,0.000,0.005,0.000,0.443,0.000,0.000
RAA,7400000.000,2.000,114.000,90.000,0.000,0.247,0.005,0.157,0.124,0.000
RAK,675000.000,1.000,195.000,0.000,0.000,0.022,0.000,0.269,0.000,0.000
RAM,170000.000,1.000,236.000,0.000,0.000,0.005,0.000,0.326,0.000,0.000
RAR,170000.000,1.000,192.000,0.000,0.000,0.005,0.000,0.265,0.000,0.000
RAS,450000.000,2.000,178.000,130.000,0.000,0.014,0.005,0.246,0.179,0.000
RB,235000.000,2.000,570.000,95.000,0.000,0.007,0.005,0.786,0.130,0.000
RBA,100000.000,1.000,173.000,0.000,0.000,0.003,0.000,0.239,0.000,0.000
RC,180000.000,1.000,419.000,0.000,0.000,0.005,0.000,0.578,0.000,0.000
RDK,380000.000,1.000,183.000,0.000,0.000,0.012,0.000,0.252,0.000,0.000
RE,953333.333,3.000,323.000,79.000,53.033,0.031,0.010,0.446,0.109,0.110
RFA,380000.000,1.000,127.000,0.000,0.000,0.012,0.000,0.175,0.000,0.000
RFB,170000.000,1.000,100.000,0.000,0.000,0.005,0.000,0.138,0.000,0.000
RFR,180000.000,1.000,349.000,0.000,0.000,0.005,0.000,0.481,0.000,0.000
RG,380000.000,1.000,466.000,0.000,0.000,0.012,0.000,0.643,0.000,0.000
RHR,380000.000,1.000,141.000,0.000,0.000,0.012,0.000,0.194,0.000,0.000
RI,395000.000,2.000,192.000,235.000,0.000,0.013,0.005,0.265,0.323,0.000
RKH,380000.000,1.000,193.000,0.000,0.000,0.012,0.000,0.266,0.000,0.000
RL,275000.000,2.000,518.000,53.000,0.000,0.009,0.005,0.714,0.073,0.000
RMA,170000.000,1.000,369.000,0.000,0.000,0.005,0.000,0.509,0.000,0.000
RMS,685000.000,1.000,125.000,0.000,0.000,0.022,0.000,0.172,0.000,0.000
RPS,340000.000,1.000,187.000,0.000,0.000,0.011,0.000,0.258,0.000,0.000
RRA,990000.000,2.000,235.000,126.000,0.000,0.032,0.005,0.324,0.173,0.000
RSAA,180000.000,1.000,317.000,0.000,0.000,0.005,0.000,0.437,0.000,0.000
RSK,170000.000,1.000,250.000,0.000,0.000,0.005,0.000,0.345,0.000,0.000
RSR,300000.000,2.000,131.000,0.000,0.000,0.009,0.005,0.181,0.000,0.000
RT,170000.000,1.000,93.000,0.000,0.000,0.005,0.000,0.128,0.000,0.000
RY,380000.000,1.000,79.000,0.000,0.000,0.012,0.000,0.109,0.000,0.000
SAA,170000.000,2.000,204.000,259.000,0.000,0.005,0.005,0.281,0.356,0.000
SAF,230000.000,2.000,99.000,266.000,0.000,0.007,0.005,0.137,0.365,0.000
SAI,140000.000,1.000,75.000,0.000,0.000,0.004,0.000,0.103,0.000,0.000
SAM,170000.000,1.000,200.000,0.000,0.000,0.005,0.000,0.276,0.000,0.000
SAN,120000.000,2.000,96.000,159.000,0.000,0.003,0.005,0.132,0.218,0.000
SAR,380000.000,1.000,573.000,0.000,0.000,0.012,0.000,0.790,0.000,0.000
SAS,140000.000,1.000,67.000,0.000,0.000,0.004,0.000,0.092,0.000,0.000
SC,220000.000,1.000,188.000,0.000,0.000,0.007,0.000,0.259,0.000,0.000
SDH,12960000.000,1.000,263.000,0.000,0.000,0.433,0.000,0.363,0.000,0.000
SEH,380000.000,1.000,25.000,0.000,0.000,0.012,0.000,0.034,0.000,0.000
SF,310000.000,3.000,434.000,235.000,122.329,0.010,0.010,0.599,0.323,0.253
SG,170000.000,1.000,256.000,0.000,0.000,0.005,0.000,0.353,0.000,0.000
SGD,1472500.000,2.000,108.000,173.000,0.000,0.049,0.005,0.149,0.238,0.000
SGVE,170000.000,1.000,257.000,0.000,0.000,0.005,0.000,0.354,0.000,0.000
SH,170000.000,4.000,311.000,230.000,72.831,0.005,0.014,0.429,0.316,0.151
SHA,170000.000,1.000,197.000,0.000,0.000,0.005,0.000,0.272,0.000,0.000
SJ,130000.000,2.000,58.000,0.000,0.000,0.004,0.005,0.080,0.000,0.000
SKF,1225000.000,1.000,279.000,0.000,0.000,0.040,0.000,0.385,0.000,0.000
SMA,1225000.000,1.000,295.000,0.000,0.000,0.040,0.000,0.407,0.000,0.000
SNA,380000.000,1.000,194.000,0.000,0.000,0.012,0.000,0.268,0.000,0.000
SNM,296250.000,4.000,308.000,256.000,121.039,0.009,0.014,0.425,0.352,0.250
SO,380000.000,1.000,573.000,0.000,0.000,0.012,0.000,0.790,0.000,0.000
SP,170000.000,1.000,578.000,0.000,0.000,0.005,0.000,0.797,0.000,0.000
SQA,130000.000,2.000,176.000,0.000,0.000,0.004,0.005,0.243,0.000,0.000
ST,816666.667,3.000,233.000,229.000,88.388,0.027,0.010,0.321,0.315,0.183
SUB,290000.000,1.000,366.000,0.000,0.000,0.009,0.000,0.505,0.000,0.000
SZD,140000.000,1.000,202.000,0.000,0.000,0.004,0.000,0.279,0.000,0.000
TA,337857.143,7.000,488.000,151.000,28.944,0.011,0.029,0.673,0.207,0.060
TAS,730000.000,1.000,382.000,0.000,0.000,0.024,0.000,0.527,0.000,0.000
TBTD,90000.000,1.000,279.000,0.000,0.000,0.002,0.000,0.385,0.000,0.000
TE,380000.000,1.000,13.000,0.000,0.000,0.012,0.000,0.018,0.000,0.000
TH,1502500.000,2.000,688.000,6.000,0.000,0.050,0.005,0.949,0.008,0.000
TKDH,7400000.000,2.000,459.000,45.000,0.000,0.247,0.005,0.633,0.062,0.000
TKI,20000.000,1.000,41.000,0.000,0.000,0.000,0.000,0.057,0.000,0.000
TKIC,29880000.000,1.000,18.000,0.000,0.000,1.000,0.000,0.025,0.000,0.000
TT,170000.000,1.000,519.000,0.000,0.000,0.005,0.000,0.716,0.000,0.000
TU,213333.333,3.000,128.000,9.000,4.950,0.006,0.010,0.177,0.012,0.010
UA,306666.667,3.000,628.000,39.000,27.577,0.010,0.010,0.866,0.054,0.057
UAH,246666.667,3.000,53.000,18.000,12.728,0.008,0.010,0.073,0.025,0.026
UF,140000.000,1.000,248.000,0.000,0.000,0.004,0.000,0.342,0.000,0.000
UGN,380000.000,1.000,129.000,0.000,0.000,0.012,0.000,0.178,0.000,0.000
UK,140000.000,1.000,121.000,0.000,0.000,0.004,0.000,0.167,0.000,0.000
UM,140000.000,3.000,116.000,118.000,16.971,0.004,0.010,0.160,0.162,0.035
UN,730000.000,1.000,383.000,0.000,0.000,0.024,0.000,0.528,0.000,0.000
UNH,365000.000,2.000,102.000,0.000,0.000,0.012,0.005,0.141,0.000,0.000
VC,380000.000,1.000,725.000,0.000,0.000,0.012,0.000,1.000,0.000,0.000
VET,170000.000,1.000,326.000,0.000,0.000,0.005,0.000,0.450,0.000,0.000
VM,380000.000,1.000,582.000,0.000,0.000,0.012,0.000,0.803,0.000,0.000
VS,555000.000,2.000,329.000,203.000,0.000,0.018,0.005,0.454,0.279,0.000
WA,275000.000,2.000,649.000,41.000,0.000,0.009,0.005,0.895,0.056,0.000
YB,380000.000,1.000,8.000,0.000,0.000,0.012,0.000,0.011,0.000,0.000
YH,910000.000,3.000,329.000,333.000,22.510,0.030,0.010,0.454,0.457,0.047
YM,408333.333,6.000,159.000,189.000,152.630,0.013,0.024,0.219,0.260,0.316
YMQ,170000.000,1.000,493.000,0.000,0.000,0.005,0.000,0.680,0.000,0.000
YP,170000.000,1.000,149.000,0.000,0.000,0.005,0.000,0.206,0.000,0.000
YZ,220000.000,3.000,86.000,27.000,17.678,0.007,0.010,0.119,0.037,0.037
ZAAG,170000.000,1.000,205.000,0.000,0.000,0.005,0.000,0.283,0.000,0.000
ZAFP,170000.000,1.000,305.000,0.000,0.000,0.005,0.000,0.421,0.000,0.000
ZAH,140000.000,2.000,9.000,80.000,0.000,0.004,0.005,0.012,0.110,0.000
ZAM,722500.000,2.000,362.000,112.000,0.000,0.024,0.005,0.499,0.154,0.000
ZB,365000.000,2.000,204.000,0.000,0.000,0.012,0.005,0.281,0.000,0.000
ZC,365000.000,2.000,278.000,0.000,0.000,0.012,0.005,0.383,0.000,0.000
ZDR,170000.000,1.000,278.000,0.000,0.000,0.005,0.000,0.383,0.000,0.000
ZI,380000.000,1.000,522.000,0.000,0.000,0.012,0.000,0.720,0.000,0.000
ZP,380000.000,1.000,122.000,0.000,0.000,0.012,0.000,0.168,0.000,0.000
ZR,486666.667,3.000,203.000,182.000,128.693,0.016,0.010,0.280,0.250,0.266
ZS,208000.000,2.000,184.000,139.000,0.000,0.006,0.005,0.254,0.191,0.000
ZZ,200714.286,7.000,444.000,97.000,12.368,0.006,0.029,0.612,0.133,0.026
