Customer ID;RECENCY;FREQUENCY;MONETARY;CHURN;CLV
ADI118;135;2;100;Churn;27000
AMA392;52;1;7500;Tidak Churn;390000
ARTH101;134;2;2200;Churn;589600
BANK230;134;1;12000;Churn;1608000
BRI229;97;1;10000000;Churn;970000000
DAN710;114;1;15000000;Churn;1710000000
DANA659;135;4;2025;Churn;1093500
EIDAA0032;97;1;20000000;Churn;1940000000
EIDAE1454;107;1;20000000;Churn;2140000000
EIDAI6490;131;2;6751175;Churn;1768807850
EIDANGK515;52;1;15000000;Tidak Churn;780000000
EIDAP2672;83;2;10000500;Tidak Churn;1660083000
EIDAT3773;91;3;7502;Churn;2047910
EIDAU9793;132;1;17000;Churn;2244000
EIDBAF0001;131;2;1605;Churn;420510
EIDBANK196;134;1;2975;Churn;398650
EIDBANK650;134;1;1500;Churn;201000
EIDBRI702;132;2;5001000;Churn;1320264000
EIDBUA518;104;3;22500000;Churn;7020000000
EIDCATU809;52;1;650;Tidak Churn;33800
EIDCICI474;135;2;3200;Churn;864000
EIDCOWA265;138;1;15000000;Churn;2070000000
EIDDIPO945;99;5;6500750;Churn;3217871250
EIDDO6335;264;1;15000000;Churn;3960000000
EIDEA7084;128;2;6750440;Churn;1728112640
EIDEIGE843;104;1;6000000;Churn;624000000
EIDEP4151;138;1;10000000;Churn;1380000000
EIDFIDA864;134;2;3500;Churn;938000
EIDFINA649;133;1;3000;Churn;399000
EIDGB3452;131;1;1500;Churn;196500
EIDHN0245;99;1;9000;Churn;891000
EIDIA2944;126;2;3150;Churn;793800
EIDIC4669;205;1;12000000;Churn;2460000000
EIDJN8040;128;2;25001750;Churn;6400448000
EIDJULO734;133;1;500;Churn;66500
EIDKK4838;205;2;9000000;Churn;3690000000
EIDKOMU865;99;1;700;Churn;69300
EIDKRED510;131;1;925;Churn;121175
EIDKT8826;106;1;15000000;Churn;1590000000
EIDLAMU729;132;1;15000000;Churn;1980000000
EIDMITR123;134;2;3500;Churn;938000
EIDMODU675;107;1;15000000;Churn;1605000000
EIDMT0905;133;1;15000000;Churn;1995000000
EIDNEST487;205;1;15000000;Churn;3075000000
EIDPAKA891;126;1;45000000;Churn;5670000000
EIDPASA297;22;2;14000000;Tidak Churn;616000000
EIDPATR228;132;1;6500;Churn;858000
EIDPEG466;93;2;22500000;Churn;4185000000
EIDPEMB724;128;1;500;Churn;64000
EIDPLUS621;131;1;2050;Churn;268550
EIDPO7023;135;4;5475;Churn;2956500
EIDPT7265;93;1;12000000;Churn;1116000000
EIDPUR793;138;2;3500;Churn;966000
EIDRA1384;131;3;4003067;Churn;1573205200
EIDRD6012;205;1;45000000;Churn;9225000000
EIDRH7850;128;4;8000200;Churn;4096102400
EIDRP6753;134;2;4024;Churn;1078298
EIDSA9477;91;2;20000000;Churn;3640000000
EIDSAHA559;133;1;700;Churn;93100
EIDSEKO366;264;1;50000000;Churn;13200000000
EIDSI0248;96;2;15000000;Churn;2880000000
EIDSINA545;22;1;10000;Tidak Churn;220000
EIDTEKN932;127;3;5000750;Churn;1905285750
EIDTRA451;132;1;0;Churn;0
EIDTV0619;138;2;10001650;Churn;2760455400
EIDUO5420;103;1;450;Churn;46350
EIDYT3413;135;2;1500;Churn;405000
ETH951;131;2;3500;Churn;917000
FINA172;133;1;3500;Churn;465500
INDO977;133;1;1200;Churn;159600
KOMU502;131;2;7501650;Churn;1965432300
KRED682;127;1;3150;Churn;400050
UANG629;127;1;2200;Churn;279400
VIVE987;107;2;6004550;Churn;1284973700