M,F,R,L,P
85297000,208,1,721,5.014
866000,4,263,399,214.963
1325000,5,185,231,57.933
1988000,7,246,461,76.185
3285000,3,56,141,70.004
8500000,20,24,645,47.439
5410000,10,82,628,103.941
3770000,7,182,457,140.862
12435000,26,8,596,36.888
2475000,8,68,585,126.161
6555000,22,21,707,35.467
18140000,35,31,694,33.171
1256000,7,9,126,21.541
9400000,32,5,576,23.091
430000,3,194,174,123.037
540000,3,82,226,127.279
17215000,42,17,681,23.933
7962000,29,33,672,31.601
6249000,12,40,543,53.365
3920000,4,79,132,21.703
28621000,66,38,610,17.584
510000,3,232,93,64.347
33151000,106,3,721,7.9
11490000,49,144,577,33.601
3295000,5,324,237,70.448
1240000,3,142,2,1.414
24500000,62,0,728,38.594
4495000,5,152,333,93.189
8715000,27,21,696,31.194
1574000,5,63,56,16.733
530000,3,46,680,449.72
1110000,7,256,257,25.325
7370000,4,411,181,36.171
1925000,7,89,593,212.048
760000,3,388,96,67.882
830000,5,96,499,153.841
5025000,5,75,646,0
4475000,5,80,501,149.174
835000,3,58,188,106.066
4070000,5,137,314,59.489
955000,4,350,210,63.553
16030000,8,58,670,74.634
2030000,10,183,501,76.492
800000,4,28,542,175.933
2580000,4,40,688,197.414
1740000,9,248,285,43.755
1210000,3,147,515,55.5
1780000,4,61,318,130.088
1705000,3,334,124,87.681
4096000,22,5,681,32.349
2040000,12,23,539,57.477
790000,5,177,146,36.428
590000,3,308,40,12.728
1075000,3,14,698,483.661
4900000,7,231,458,133.947
640000,5,435,242,106.488
1150000,5,23,677,132.618
12486000,38,59,652,18.124
590000,3,322,163,75.66
680000,4,39,405,50.507
1380000,9,17,120,13.148
2995000,9,40,391,64.224
1375000,6,99,296,90.281
1545000,5,56,527,187.206
7410000,9,73,538,84.386
1175000,4,137,458,222.534
4527000,13,178,485,41.675
430000,3,15,233,164.756
1905000,7,64,556,103.291
8085000,5,215,13,2.754
3308000,3,109,213,130.815
8458000,33,68,621,28.197
510000,3,92,132,73.539
5245000,9,44,409,97.294
1949000,6,121,77,18.501
3180000,3,313,249,13.435
490000,3,2,54,25.456
7813000,21,29,592,62.086
1821000,4,113,214,68.879
1240000,3,292,418,295.571
3315000,10,3,683,65.003
7049000,28,59,447,28.489
6355000,16,10,576,37.877
1050000,7,18,178,16.931
7540000,20,441,93,5.032
1345000,3,131,236,142.836
785000,3,423,43,12.021
1116000,5,37,63,12.816
1155000,4,8,177,99.604
66010000,152,8,710,5.488
1240000,3,204,23,16.263
3960000,11,2,688,122.998
2495000,10,28,236,20.705
12700000,64,26,700,56.695
830000,4,73,28,16.166
4995000,16,21,640,55.524
1575000,3,145,273,118.087
795000,4,114,73,27.392
1240000,3,53,119,84.146
1185000,4,60,636,279.048
2040000,6,390,187,12.054
1010000,5,103,530,251.076
9630000,27,198,425,31.352
2980000,5,115,597,94.196
2385000,3,445,229,130.815
2000000,6,135,573,92.592
443600,3,210,77,24.749
35839000,74,18,710,10.685
2680000,8,64,517,63.051
4125000,7,317,197,51.215
1995000,6,206,432,84.127
2255000,6,22,492,105.082
3550000,21,3,574,86.794
616000,4,43,77,28.919
4660000,6,24,695,79.866
14630000,10,415,296,42.428
3315000,6,50,536,64.169
1685000,4,56,645,171.823
6156000,12,238,456,44.635
1660000,6,173,342,84.088
1055000,3,250,180,127.279
1395000,4,73,530,147.358
1280000,4,26,509,244.999
18540000,3,462,154,69.296
1055000,4,148,104,60.044
2170000,7,39,642,156.516
820000,3,415,0,0
1370000,6,12,592,126.338
2900000,6,93,597,79.896
955000,4,103,616,181.539
1410000,3,44,69,4.95
855000,3,428,205,126.572
22478000,71,7,718,17.311
5275000,26,23,685,21.552
890000,4,329,109,20.033
850000,5,197,175,17.076
2530000,5,407,321,133.12
615000,3,395,132,90.51
23119000,106,2,726,8.976
2960000,5,320,130,34.22
1890000,4,299,89,14.742
8003000,41,0,716,28.109
1360000,7,19,455,96.824
8310000,13,54,654,67.089
930000,3,26,392,277.186
810000,5,10,161,41.484
420000,3,43,4,2.828
887000,3,226,133,94.045
958000,9,63,331,50.777
8075000,26,0,724,54.166
1305000,5,212,143,36.151
408000,3,61,280,82.024
2435000,6,52,407,160.97
950000,4,418,90,18.682
1725000,5,96,483,87.869
2220000,3,464,182,14.142
500000,3,93,614,420.021
31968000,59,50,667,12.731
1205000,4,11,581,306.865
3465000,3,323,79,53.033
1060000,5,67,403,106.959
3420000,8,11,685,187.734
6666000,10,11,666,38.549
3425000,8,42,640,153.416
17685000,29,18,621,20.904
6060000,15,11,446,32.755
1590000,6,169,486,22.627
14364000,27,59,655,21.6
4469000,16,60,631,56.628
1055000,3,16,332,131.522
430000,3,33,307,217.082
49749000,39,0,712,20.072
820000,4,222,347,176.647
1530000,4,52,371,134.675
995000,3,434,235,122.329
680000,4,311,230,72.831
9230000,17,1,709,73.75
8890000,13,53,313,32.573
4280000,15,40,649,60.248
14045000,44,3,716,57.112
1185000,4,308,256,121.039
2740000,10,116,612,233.353
8290000,5,121,549,34.884
2450000,3,233,229,88.388
1335000,6,120,475,127.157
2770000,7,488,151,28.944
976000,8,280,429,82.698
1205000,3,45,511,204.354
705000,3,128,9,4.95
920000,3,628,39,27.577
740000,3,53,18,12.728
480000,3,116,118,16.971
3245000,8,89,564,109.052
5285000,8,39,554,78.044
2795000,3,329,333,22.51
2535000,6,159,189,152.63
975000,4,38,288,152.63
660000,3,86,27,17.678
7799000,20,108,527,28.9
636000,4,141,493,96.671
4845000,7,42,682,67.893
1775000,6,236,403,67.281
2225000,6,108,338,127.823
830000,4,121,574,329.669
1525000,3,203,182,128.693
1630000,7,444,97,12.368
